"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","MAX","PRCP","TEMP","VISIB","WDSP"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-13","  81.0"," 0.20","  77.6","  4.6","  2.9"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-14","  88.7"," 0.12","  80.1","  5.3","  3.5"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-15","  88.3"," 0.00","  80.6","  4.5","  2.7"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-16","  89.6"," 0.00","  81.8","  4.7","  2.9"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-17","  91.4"," 0.00","  81.1","  4.0","  2.1"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-18","  90.3"," 0.00","  82.2","  4.5","  3.1"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-19","  89.6"," 0.00","  82.1","  4.6","  3.9"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-20","  87.8"," 0.00","  80.8","  5.0","  5.6"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-21","  88.2"," 0.00","  80.5","  4.5","  3.6"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-22","  91.4"," 0.00","  81.6","  4.6","  3.4"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-23","  91.4"," 0.00","  82.2","  4.7","  3.6"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-24","  91.4"," 0.00","  82.9","  5.3","  3.2"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-25","  89.6"," 0.24","  80.6","  4.6","  2.4"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-26","  90.7"," 0.00","  82.3","  4.9","  4.2"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-27","  89.8"," 0.00","  82.1","  4.9","  5.5"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-28","  89.6"," 0.01","  79.5","  3.8","  2.6"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-29","  88.9"," 0.35","  79.1","  4.2","  1.8"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-04-30","  89.6"," 0.00","  82.0","  4.8","  4.5"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-05-01","  89.6"," 0.04","  80.8","  4.5","  1.8"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-05-02","  90.9"," 0.00","  81.1","  4.6","  2.6"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-05-03","  91.0"," 0.00","  82.4","  5.0","  3.1"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-05-04","  91.4"," 0.00","  82.8","  5.2","  3.7"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-05-05","  88.3"," 0.00","  82.4","  5.3","  7.9"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-05-06","  88.0"," 0.00","  80.4","  4.5","  4.8"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-05-07","  89.6","99.99","  81.7","  4.6","  4.4"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-05-08","  89.6"," 0.00","  82.7","  5.0","  7.7"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-05-09","  87.8","99.99","  81.3","  4.8","  5.8"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-05-10","  89.2"," 0.00","  81.7","  4.7","  5.0"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-05-11","  89.6"," 0.00","  82.3","  4.8","  8.4"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-05-12","  88.0"," 0.00","  80.7","  4.8","  7.3"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-05-13","  87.1"," 0.00","  78.6","  5.0","  7.5"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-05-14","  86.4"," 0.00","  76.6","  4.8","  5.6"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-05-15","  86.7"," 0.00","  76.2","  4.8","  4.1"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-05-16","  86.0"," 0.00","  76.8","  4.4","  3.4"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-05-17","  86.9"," 0.00","  77.7","  4.3","  3.1"
"97240099999","MATARAM LOMBOK INTERNATIONAL AIRPORT, ID","-8.75","116.2666666","96.0","2023-05-18","  87.8"," 0.00","  78.6","  4.7","  2.9"
